local_law_id,name,address,type_of_law_enforcement,city_id
1009645,LAKE LINDEN POLICE DEPARTMENT,401 CALUMET STREET,LOCAL POLICE DEPARTMENT,1840013132
1007507,HARDIN COUNTY SHERIFFS DEPARTMENT,100 PUBLIC SQUARE,SHERIFF'S OFFICE,1840013218
1002375,WATSONVILLE POLICE DEPARTMENT,215 UNION STREET,LOCAL POLICE DEPARTMENT,1840021581
1001840,MANTECA POLICE DEPARTMENT,1001 WEST CENTER STREET,LOCAL POLICE DEPARTMENT,1840020265
1001644,FORT BRAGG POLICE DEPARTMENT,250 CYPRESS STREET,LOCAL POLICE DEPARTMENT,1840020189
1004984,BREMER COUNTY SHERIFFS OFFICE / BREMER COUNTY JAIL,111 4TH STREET NORTHEAST,SHERIFF'S OFFICE,1840000404
1004639,CHARLES CITY POLICE DEPARTMENT,105 MILWAUKEE MALL,LOCAL POLICE DEPARTMENT,1840000382
1004957,SUTHERLAND POLICE DEPARTMENT,409 ASH STREET,LOCAL POLICE DEPARTMENT,1840009047
1004898,POMEROY POLICE DEPARTMENT,114 SOUTH ONTARIO STREET,LOCAL POLICE DEPARTMENT,1840009118
1004673,SCOTT COUNTY SHERIFFS OFFICE / SCOTT COUNTY JAIL,400 WEST 4TH STREET,SHERIFF'S OFFICE,1840007081
1004886,OTTUMWA POLICE DEPARTMENT,330 WEST 2ND STREET,LOCAL POLICE DEPARTMENT,1840009339
1004888,PANORA POLICE DEPARTMENT,501 EAST MARKET STREET,LOCAL POLICE DEPARTMENT,1840009226
1004882,OSCEOLA POLICE DEPARTMENT,220 TOWN LINE ROAD,LOCAL POLICE DEPARTMENT,1840000889
1004901,PRESTON POLICE DEPARTMENT,1 WEST GILLET,LOCAL POLICE DEPARTMENT,1840009140
1004698,DUBUQUE POLICE DEPARTMENT,770 IOWA STREET,LOCAL POLICE DEPARTMENT,1840000438
1004605,BELLEVUE POLICE DEPARTMENT,106 NORTH 3RD STREET,LOCAL POLICE DEPARTMENT,1840006981
1004848,MOUNT PLEASANT POLICE DEPARTMENT,300 WEST MONROE STREET,LOCAL POLICE DEPARTMENT,1840000888
1004634,LINN COUNTY SHERIFFS DEPARTMENT,310 2ND AVENUE SOUTHWEST,SHERIFF'S OFFICE,1840000471
1004959,TAMA POLICE DEPARTMENT,305 SIEGEL STREET,LOCAL POLICE DEPARTMENT,1840009150
1004602,BEDFORD CITY POLICE DEPARTMENT,621 COURT AVENUE,LOCAL POLICE DEPARTMENT,1840007188
1004674,DAYTON POLICE DEPARTMENT,202 1ST AVENUE SOUTHWEST,LOCAL POLICE DEPARTMENT,1840006942
1004654,CLIVE POLICE DEPARTMENT,8505 HARBACH BOULEVARD,LOCAL POLICE DEPARTMENT,1840007063
1004656,COLUMBUS JUNCTION POLICE DEPARTMENT,232 2ND STREET,LOCAL POLICE DEPARTMENT,1840007135
1004852,MUSCATINE POLICE DEPARTMENT,312 EAST 5TH STREET,LOCAL POLICE DEPARTMENT,1840008202
1004606,BELMOND POLICE DEPARTMENT,112 2ND AVENUE NORTHEAST,LOCAL POLICE DEPARTMENT,1840006905
1004801,LE CLAIRE POLICE DEPARTMENT,306 SOUTH CODY ROAD,LOCAL POLICE DEPARTMENT,1840008186
1004817,MANLY POLICE DEPARTMENT,132 EAST SOUTH STREET,LOCAL POLICE DEPARTMENT,1840009028
1004663,COUNCIL BLUFFS POLICE DEPARTMENT,227 SOUTH 6TH STREET,LOCAL POLICE DEPARTMENT,1840007117
1003584,SUNNY ISLES BEACH POLICE DEPARTMENT,18070 COLLINS AVENUE,LOCAL POLICE DEPARTMENT,1840016007
1002588,GILCREST POLICE DEPARTMENT,304 8TH STREET,LOCAL POLICE DEPARTMENT,1840021366
1008137,ASSUMPTION PARISH SHERIFFS DEPARTMENT,112 FRANKLIN AVENUE,SHERIFF'S OFFICE,1840018259
1007899,LOUISIANA STATE POLICE,"7919 INDEPENDENCE BLVD, <NULL>",PRIMARY STATE AGENCY,1840013941
1001525,CHINO POLICE DEPARTMENT,13250 CENTRAL AVENUE,LOCAL POLICE DEPARTMENT,1840019114
1001950,OCEANSIDE POLICE DEPARTMENT,3855 MISSION AVENUE,LOCAL POLICE DEPARTMENT,1840020623
1002314,STALLION SPRINGS POLICE DEPARTMENT,27800 STALLION SPRINGS DRIVE,LOCAL POLICE DEPARTMENT,1840021737
1001441,BAKERSFIELD POLICE DEPARTMENT,1601 TRUXTUN AVENUE,LOCAL POLICE DEPARTMENT,1840019148
1001470,BERKELEY POLICE DEPARTMENT,2100 MARTIN LUTHER KING JUNIOR WAY,LOCAL POLICE DEPARTMENT,1840018914
1001544,COLMA POLICE DEPARTMENT,1199 EL CAMINO REAL,LOCAL POLICE DEPARTMENT,1840022547
1001835,MADERA POLICE DEPARTMENT,330 SOUTH C STREET,LOCAL POLICE DEPARTMENT,1840020300
1004759,HARLAN POLICE DEPARTMENT,709 DURANT STREET,LOCAL POLICE DEPARTMENT,1840000530
1004884,OSKALOOSA POLICE DEPARTMENT,214 HIGH AVE EAST,LOCAL POLICE DEPARTMENT,1840000650
1005000,WINDSOR HEIGHTS POLICE DEPARTMENT,1133 66TH STREET,LOCAL POLICE DEPARTMENT,1840010186
1004869,ODEBOLT POLICE DEPARTMENT,205 WEST 2ND STREET,LOCAL POLICE DEPARTMENT,1840008069
1004671,DAVENPORT CITY POLICE DEPARTMENT,416 NORTH HARRISON STREET,LOCAL POLICE DEPARTMENT,1840007081
1004585,AMES POLICE DEPARTMENT,515 CLARK AVENUE,LOCAL POLICE DEPARTMENT,1840007019
1004730,FOREST CITY POLICE DEPARTMENT,525 NORTH 4TH STREET,LOCAL POLICE DEPARTMENT,1840007953
1004873,OKOBOJI POLICE DEPARTMENT,1106 DEPOT AVENUE,LOCAL POLICE DEPARTMENT,1840007959
1004900,PRAIRIE CITY POLICE DEPARTMENT,203 E JEFFERSON ST,LOCAL POLICE DEPARTMENT,1840009224
1004754,GUTTENBERG POLICE DEPARTMENT,502 S 1ST ST,LOCAL POLICE DEPARTMENT,1840006891
1004687,IOWA DEPARTMENT OF PUBLIC SAFETY,215 E. 7TH STREET,PRIMARY STATE AGENCY,1840007069
1006146,TOLUCA POLICE DEPARTMENT,102 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840010320
1005476,EFFINGHAM WATER AUTHORITY POLICE DEPARTMENT,9352 EAST PARK LANE,SPECIAL JURISDICTION,1840008545
1006919,RAWLINS COUNTY SHERIFFS OFFICE / RAWLINS COUNTY JAIL,"607 MAIN STREET, SUITE G",SHERIFF'S OFFICE,1840007276
1007365,WAMEGO POLICE DEPARTMENT,408 ELM STREET,LOCAL POLICE DEPARTMENT,1840010634
1006405,DYER POLICE DEPARTMENT,2150 HART STREET,LOCAL POLICE DEPARTMENT,1840010224
1006382,CROWN POINT POLICE DEPARTMENT,124 NORTH EAST STREET,LOCAL POLICE DEPARTMENT,1840007091
1005046,EMMETT POLICE DEPARTMENT,501 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840020000
1006645,MONROEVILLE POLICE DEPARTMENT,104 ALLEN STREET,LOCAL POLICE DEPARTMENT,1840009323
1007414,BARDWELL POLICE DEPARTMENT,FRONT STREET,LOCAL POLICE DEPARTMENT,1840013287
1006664,MUNSTER POLICE DEPARTMENT,1001 RIDGE ROAD,LOCAL POLICE DEPARTMENT,1840009262
1006609,LOWELL POLICE DEPARTMENT,1333 EAST COMMERCIAL AVENUE,LOCAL POLICE DEPARTMENT,1840009260
1007350,TROY POLICE DEPARTMENT,137 WEST WALNUT STREET,LOCAL POLICE DEPARTMENT,1840010555
1007118,LA CROSSE POLICE DEPARTMENT,1105 MAIN STREET,LOCAL POLICE DEPARTMENT,1840008628
1007363,WALTON POLICE DEPARTMENT,122 MAIN STREET,LOCAL POLICE DEPARTMENT,1840010829
1006324,JACKSON COUNTY SHERIFFS OFFICE / JACKSON COUNTY JAIL,150 EAST STATE ROAD 250,SHERIFF'S OFFICE,1840009709
1008907,BRUNSWICK POLICE DEPARTMENT,20 EAST A STREET,LOCAL POLICE DEPARTMENT,1840005709
1006250,WYOMING POLICE DEPARTMENT,305 EAST WILLIAMS STREET,LOCAL POLICE DEPARTMENT,1840010304
1007600,HYDEN POLICE DEPARTMENT,22035 MAIN STREET,LOCAL POLICE DEPARTMENT,1840014383
1007160,MACKSVILLE POLICE DEPARTMENT,220 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840009829
1006983,CONCORDIA POLICE DEPARTMENT,401 WEST 6TH STREET,LOCAL POLICE DEPARTMENT,1840001541
1006992,LANE COUNTY SHERIFFS OFFICE / LANE COUNTY JAIL,144 SOUTH LANE STREET,SHERIFF'S OFFICE,1840007477
1007087,HUMBOLDT POLICE DEPARTMENT,701 BRIDGE STREET,LOCAL POLICE DEPARTMENT,1840001680
1005104,LEWIS COUNTY SHERIFFS OFFICE / LEWIS COUNTY JAIL,"510 OAK STREET, ROOM 5",SHERIFF'S OFFICE,1840019902
1005043,TETON COUNTY SHERIFFS OFFICE,"89 NORTH MAIN STREET, SUITE 7",SHERIFF'S OFFICE,1840018635
1009331,BELLEVUE POLICE DEPARTMENT,201 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840011083
1009864,ZILWAUKEE POLICE DEPARTMENT,319 TITTABAWASSEE ROAD,LOCAL POLICE DEPARTMENT,1840002813
1009513,TITTABAWASSEE TOWNSHIP POLICE DEPARTMENT,355 CHURCH STREET,LOCAL POLICE DEPARTMENT,1840004224
1005100,OWYHEE COUNTY SHERIFFS OFFICE / OWYHEE COUNTY JAIL,20381 STATE HIGHWAY 78,SHERIFF'S OFFICE,1840024021
1005190,ASHLAND POLICE DEPARTMENT,101 NORTH YATES STREET,LOCAL POLICE DEPARTMENT,1840012415
1009012,SAINT MARYS COUNTY SHERIFFS OFFICE,23150 LEONARD HALL DRIVE,SHERIFF'S OFFICE,1840006232
1009674,LESLIE POLICE DEPARTMENT,15 COMMERCIAL STREET,LOCAL POLICE DEPARTMENT,1840003103
1009863,THOMAS TOWNSHIP POLICE DEPARTMENT,8215 SHIELDS DRIVE,LOCAL POLICE DEPARTMENT,1840002813
1005882,OAK LAWN POLICE DEPARTMENT,9446 SOUTH RAYMOND AVENUE,LOCAL POLICE DEPARTMENT,1840011306
1005395,COFFEEN POLICE DEPARTMENT,107 LOCUST STREET,LOCAL POLICE DEPARTMENT,1840007363
1005094,MONTPELIER POLICE DEPARTMENT,534 WASHINGTON STREET,LOCAL POLICE DEPARTMENT,1840020091
1005817,MORRISONVILLE POLICE DEPARTMENT,307 SOUTHEAST 6TH STREET,LOCAL POLICE DEPARTMENT,1840012546
1005033,CUSTER COUNTY SHERIFFS OFFICE / CUSTER COUNTY JAIL,801B MAIN STREET,SHERIFF'S OFFICE,1840018599
1006410,EDINBURGH POLICE DEPARTMENT,200 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840013729
1006297,GREENE COUNTY SHERIFF / GREENE COUNTY JAIL,204 COUNTY ROAD 70 EAST,SHERIFF'S OFFICE,1840009693
1006373,CORYDON POLICE DEPARTMENT,113 NORTH OAK STREET,LOCAL POLICE DEPARTMENT,1840009820
1006273,ARCADIA POLICE DEPARTMENT,208 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840010497
1006154,DOUGLAS COUNTY SHERIFF DEPARTMENT / DOUGLAS COUNTY JAIL,920 SOUTH WASHINGTON STREET,SHERIFF'S OFFICE,1840010587
1005120,FRANKLIN COUNTY SHERIFFS OFFICE,39 WEST ONEIDA STREET,SHERIFF'S OFFICE,1840020099
1005118,PONDERAY POLICE DEPARTMENT,476770 UNITED STATES HIGHWAY 95,LOCAL POLICE DEPARTMENT,1840019771
1005121,PRESTON POLICE DEPARTMENT,70 WEST ONEIDA STREET,LOCAL POLICE DEPARTMENT,1840020099
1006591,DEARBORN COUNTY SHERIFFS DEPARTMENT,301 WEST HIGH STREET,SHERIFF'S OFFICE,1840008523
1006013,WINNEBAGO COUNTY SHERIFF / WINNEBAGO COUNTY JAIL,650 WEST STATE STREET,SHERIFF'S OFFICE,1840009132
1005807,WARREN COUNTY SHERIFFS OFFICE / WARREN COUNTY JAIL,121 NORTH A STREET,SHERIFF'S OFFICE,1840008283
1009406,CITY OF CLIO POLICE DEPARTMENT,505 WEST VIENNA STREET,LOCAL POLICE DEPARTMENT,1840002946
1007452,CADIZ POLICE DEPARTMENT,11 MARION STREET,LOCAL POLICE DEPARTMENT,1840013282
1006667,BROWN COUNTY SHERIFFS OFFICE,55 STATE ROAD 46 EAST,SHERIFF'S OFFICE,1840013887
1009608,IRON RIVER POLICE DEPARTMENT,106 WEST GENESEE STREET,LOCAL POLICE DEPARTMENT,1840001972
1009842,ROCKFORD POLICE DEPARTMENT,7 SOUTH MONROE STREET,LOCAL POLICE DEPARTMENT,1840002924
1009900,SPARTA POLICE DEPARTMENT,260 WEST DIVISION STREET,LOCAL POLICE DEPARTMENT,1840011006
1007407,AUBURN POLICE DEPARTMENT,103 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840013270
1007760,BOURBON COUNTY SHERIFFS DEPARTMENT,301 MAIN STREET,SHERIFF'S OFFICE,1840014315
1007421,BELLEVUE POLICE DEPARTMENT,616 POPLAR STREET,LOCAL POLICE DEPARTMENT,1840013164
1007002,ELLINWOOD POLICE DEPARTMENT,209 WEST 1ST STREET,LOCAL POLICE DEPARTMENT,1840001655
1007150,LINDSBORG POLICE DEPARTMENT,102 SOUTH 1ST STREET,LOCAL POLICE DEPARTMENT,1840001658
1007633,LEITCHFIELD POLICE,117 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840014366
1007463,CANEYVILLE POLICE DEPARTMENT,304 EAST MAPLE STREET,LOCAL POLICE DEPARTMENT,1840014364
1007279,RUSSELL POLICE DEPARTMENT,339 EAST 8TH STREET,LOCAL POLICE DEPARTMENT,1840001631
1007180,MCPHERSON POLICE DEPARTMENT,"1177 WEST WOODSIDE STREET, LAW ENFORCEMENT CENTER",LOCAL POLICE DEPARTMENT,1840001659
1007691,MARION POLICE DEPARTMENT,217 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840015248
1007472,CLARKSON POLICE DEPARTMENT,106 SPRING STREET,LOCAL POLICE DEPARTMENT,1840014365
1007769,PIKEVILLE POLICE DEPARTMENT,101 DIVISION STREET,LOCAL POLICE DEPARTMENT,1840014348
1007189,MERRIAM POLICE DEPARTMENT,9010 WEST 62ND STREET,LOCAL POLICE DEPARTMENT,1840003830
1007426,BEREA CITY POLICE DEPARTMENT,212 CHESTNUT STREET,LOCAL POLICE DEPARTMENT,1840013225
1007275,ROSE HILL POLICE DEPARTMENT,125 WEST ROSEWOOD STREET,LOCAL POLICE DEPARTMENT,1840009856
1007138,JOHNSON COUNTY PARK POLICE,"7900 RENNER ROAD, SHAWNEE MISSION PARK",SPECIAL JURISDICTION,1840001639
1006993,DODGE CITY POLICE DEPARTMENT,110 WEST SPRUCE STREET,LOCAL POLICE DEPARTMENT,1840001684
1006942,BURDEN POLICE DEPARTMENT,401 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840007604
1007712,MORGANTOWN CITY POLICE DEPARTMENT,2800 SALING CIRCLE,LOCAL POLICE DEPARTMENT,1840014380
1007742,OAK GROVE POLICE DEPARTMENT,152 STATELINE RD,LOCAL POLICE DEPARTMENT,1840014397
1007721,MULDRAUGH POLICE DEPARTMENT,120 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840014317
1007840,MORGAN COUNTY SHERIFFS OFFICE,450 PRESTONSBURG STREET,SHERIFF'S OFFICE,1840015215
1007822,MONROE COUNTY SHERIFFS OFFICE,"200 NORTH MAIN STREET, SUITE E",SHERIFF'S OFFICE,1840015272
1009029,OCEAN CITY POLICE DEPARTMENT,6501 COASTAL HIGHWAY,LOCAL POLICE DEPARTMENT,1840006259
1007803,BULLITT COUNTY SHERIFFS OFFICE,300 SOUTH BUCKMAN STREET,SHERIFF'S OFFICE,1840015214
1007478,ADAIR COUNTY SHERIFFS OFFICE,424 PUBLIC SQUARE,SHERIFF'S OFFICE,1840014384
1009127,BANGOR POLICE DEPARTMENT,240 MAIN STREET,LOCAL POLICE DEPARTMENT,1840000238
1006346,CHESTERFIELD POLICE DEPARTMENT,17 VETERANS BOULEVARD,LOCAL POLICE DEPARTMENT,1840009437
1009730,MILFORD POLICE DEPARTMENT,1100 ATLANTIC STREET,LOCAL POLICE DEPARTMENT,1840011058
1009934,TROY POLICE DEPARTMENT,500 WEST BIG BEAVER ROAD,LOCAL POLICE DEPARTMENT,1840002434
1009783,NOVI POLICE DEPARTMENT,45125 WEST 10 MILE ROAD,LOCAL POLICE DEPARTMENT,1840002423
1009362,BROWN CITY POLICE DEPARTMENT,4205 MAIN STREET,LOCAL POLICE DEPARTMENT,1840002699
1009881,SANDUSKY POLICE DEPARTMENT,26 WEST SPEAKER STREET,LOCAL POLICE DEPARTMENT,1840002698
1009230,PRESQUE ISLE POLICE DEPARTMENT,43 NORTH STREET,LOCAL POLICE DEPARTMENT,1840000146
1009226,PORTLAND POLICE DEPARTMENT - HEADQUARTERS,109 MIDDLE STREET,LOCAL POLICE DEPARTMENT,1840000327
1009375,CARLETON POLICE DEPARTMENT,1143 MONROE STREET,LOCAL POLICE DEPARTMENT,1840010912
1009411,COLEMAN CITY POLICE DEPARTMENT,201 EAST RAILWAY STREET,LOCAL POLICE DEPARTMENT,1840002661
1009593,HOWARD CITY POLICE DEPARTMENT,125 EAST SHAW STREET,LOCAL POLICE DEPARTMENT,1840010991
1009648,LAKEVIEW POLICE DEPARTMENT,315 SOUTH LINCOLN AVENUE,LOCAL POLICE DEPARTMENT,1840010990
1009780,NORTON SHORES POLICE DEPARTMENT,4814 SOUTH HENRY STREET,LOCAL POLICE DEPARTMENT,1840002873
1009849,ROOSEVELT PARK POLICE DEPARTMENT,900 OAKRIDGE ROAD,LOCAL POLICE DEPARTMENT,1840002874
1009307,BAD AXE POLICE DEPARTMENT,100 SOUTH HANSELMAN STREET,LOCAL POLICE DEPARTMENT,1840003951
1009624,KALAMAZOO DEPARTMENT OF PUBLIC SAFETY - HEADQUARTERS,"150 EAST CROSSTOWN PARKWAY, SUITE A",LOCAL POLICE DEPARTMENT,1840003185
1007615,JUNCTION CITY POLICE DEPARTMENT,794 WEST SHELBY STREET,LOCAL POLICE DEPARTMENT,1840014356
1009646,LAKE ODESSA POLICE DEPARTMENT,839 4TH AVENUE,LOCAL POLICE DEPARTMENT,1840011016
1007783,RAVENNA POLICE DEPARTMENT,620 MAIN STREET,LOCAL POLICE DEPARTMENT,1840014343
1009738,MONTROSE TOWNSHIP POLICE DEPARTMENT,11155 NICHOLS ROAD,LOCAL POLICE DEPARTMENT,1840002942
1007574,HAWESVILLE POLICE DEPARTMENT,395 MAIN STREET,LOCAL POLICE DEPARTMENT,1840014332
1007607,IRVINE POLICE DEPARTMENT,101 CHESTNUT STREET,LOCAL POLICE DEPARTMENT,1840014344
1007661,GRAYMOOR-DEVONDALE POLICE DEPARTMENT,1500 LYNN WAY,LOCAL POLICE DEPARTMENT,1840030815
1009616,BLACKMAN TOWNSHIP DEPARTMENT OF PUBLIC SAFETY,1996 WEST PARNALL ROAD,LOCAL POLICE DEPARTMENT,1840003173
1009904,SPRINGPORT TOWNSHIP POLICE DEPARTMENT,157 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840011199
1009799,PARCHMENT POLICE DEPARTMENT,650 SOUTH RIVERVIEW DRIVE,LOCAL POLICE DEPARTMENT,1840003182
1007732,COLD SPRING POLICE DEPARTMENT,5694 EAST ALEXANDRIA PIKE,LOCAL POLICE DEPARTMENT,1840014261
1007199,MOUNDRIDGE POLICE DEPARTMENT,225 SOUTH CHRISTIAN AVENUE,LOCAL POLICE DEPARTMENT,1840008636
1007497,DAYTON POLICE DEPARTMENT,514 SIXTH AVENUE,LOCAL POLICE DEPARTMENT,1840014259
1009734,MONROE CITY POLICE DEPARTMENT,100 EAST 2ND STREET,LOCAL POLICE DEPARTMENT,1840003987
1007557,GREENUP POLICE DEPARTMENT,1005 WALNUT STREET,LOCAL POLICE DEPARTMENT,1840013183
1007521,FLATWOODS POLICE DEPARTMENT,2513 REED STREET,LOCAL POLICE DEPARTMENT,1840013182
1007708,MORGANFIELD CITY POLICE DEPARTMENT,118 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840014342
1007710,UNION COUNTY SHERIFFS DEPARTMENT,100 WEST MAIN STREET,SHERIFF'S OFFICE,1840014342
1007099,GRANDVIEW PLAZA POLICE DEPARTMENT,402 STATE AVENUE,LOCAL POLICE DEPARTMENT,1840001620
1007340,SHAWNEE COUNTY SHERIFFS OFFICE,"320 SOUTH KANSAS AVENUE, SUITE 200",SHERIFF'S OFFICE,1840001621
1007697,MAYSVILLE POLICE DEPARTMENT,212 GOVERNMENT STREET,LOCAL POLICE DEPARTMENT,1840015180
1007802,SHELBYVILLE POLICE DEPARTMENT,303 MAIN STREET,LOCAL POLICE DEPARTMENT,1840015205
1007401,CLINTON COUNTY SHERIFFS OFFICE,100 SOUTH CROSS STREET,SHERIFF'S OFFICE,1840013289
1007815,LINCOLN COUNTY SHERIFFS OFFICE,104 NORTH 2ND STREET,SHERIFF'S OFFICE,1840015242
1009704,CHOCOLAY TOWNSHIP POLICE DEPARTMENT,5010 UNITED STATES HIGHWAY 41 SOUTH,LOCAL POLICE DEPARTMENT,1840003923
1007852,WILLIAMSBURG POLICE DEPARTMENT,845 US HIGHWAY 25 W,LOCAL POLICE DEPARTMENT,1840015267
1007833,VINE GROVE POLICE DEPARTMENT,300 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840015218
1007550,GLENCOE POLICE DEPARTMENT,112 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840013175
1009065,ROCKVILLE CITY POLICE DEPARTMENT,111 MARYLAND AVENUE,LOCAL POLICE DEPARTMENT,1840005849
1007819,STURGIS CITY POLICE DEPARTMENT,524 NORTH ADAMS STREET,LOCAL POLICE DEPARTMENT,1840015227
1009421,CROSWELL POLICE DEPARTMENT,100 NORTH HOWARD AVENUE,LOCAL POLICE DEPARTMENT,1840002700
1009125,KENNEBEC COUNTY SHERIFFS DEPARTMENT,125 STATE STREET,SHERIFF'S OFFICE,1840000302
1007807,SMITHS GROVE POLICE DEPARTMENT,146 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840015261
1006739,GIBSON COUNTY SHERIFFS DEPARTMENT / GIBSON COUNTY JAIL,112 EAST EMERSON STREET,SHERIFF'S OFFICE,1840009801
