hospital_id,name,address,status,ownership_information,city_id
6236925,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015778
6335801,THE HUNTSVILLE HOSPITAL,101 SIVLEY ROAD,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005061
3136607,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,OPEN,PROPRIETARY,1840006009
6436726,J. PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,OPEN,GOVERNMENT - LOCAL,1840001060
6536867,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,OPEN,PROPRIETARY,1840006012
6636106,"JACKSON HOSPITAL AND CLINIC, INC",1725 PINE STREET,OPEN,NON-PROFIT,1840008353
6736545,JACKSON MEDICAL CENTER,"220 HOSPITAL DRIVE, PO BOX 428",OPEN,PROPRIETARY,1840014935
6936853,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD, PO BOX 629",OPEN,PROPRIETARY,1840001397
7035565,LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195, PO BOX 780",OPEN,NON-PROFIT,1840013644
4236301,LAUREL OAKS BEHAVIORAL HEALTH CENTER,700 EAST COTTONWOOD ROAD,OPEN,PROPRIETARY,1840001518
8835650,LAWRENCE MEDICAL CENTER,"202 HOSPITAL STREET, PO BOX 39",OPEN,PROPRIETARY,1840008190
7135758,MADISON HOSPITAL,8375 HIGHWAY 72 WEST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015524
7335976,MARSHALL MEDICAL CENTERS NORTH CAMPUS,8000 ALABAMA HIGHWAY 69,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006456
9135957,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,"2505 US HIGHWAY 431 SOUTH, PO DRAWER 758",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840013602
91235402,MARY S. HARPER GERIATRIC PSYCHIATRY CENTER,"201 UNIVERSITY BOULEVARD, PO BOX 21231",OPEN,GOVERNMENT - STATE,1840005563
5136027,MEDICAL CENTER BARBOUR,820 WEST WASHINGTON STREET,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840001685
5336330,MEDICAL CENTER ENTERPRISE,400 NORTH EDWARDS STREET,OPEN,PROPRIETARY,1840001548
5435021,"MEDICAL WEST HOSPITAL AUTHORITY, AN AFFILIATE OF UAB HEALTH SYSTEM",995 NINTH AVENUE SOUTHWEST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840013732
5636467,MIZELL MEMORIAL HOSPITAL,"702 MAIN STREET, PO BOX 1010",OPEN,NON-PROFIT,1840014960
13636652,MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE, PO BOX 2144",OPEN,NON-PROFIT,1840006009
7836461,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, PO BOX 886",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005191
8035904,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY,OPEN,PROPRIETARY,1840006332
8136202,"NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR, PO BOX 1578",OPEN,PROPRIETARY,1840006563
91336302,"NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR, PO BOX 6845",OPEN,PROPRIETARY,1840001518
91436106,"NOLAND HOSPITAL MONTGOMERY II, LLC","1725 PINE STREET, 5TH FLOOR, NORTH WING, PO BOX 11649",OPEN,PROPRIETARY,1840008353
90535401,"NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BLVD EAST, 4TH FLOOR",OPEN,PROPRIETARY,1840005563
196784188,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,OPEN,PROPRIETARY,1840002083
13735611,NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET ST, 2ND FLOOR",OPEN,PROPRIETARY,1840000935
9436507,NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE, PO BOX 1409",OPEN,NON-PROFIT,1840000959
4735570,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,1256 MILITARY STREET SOUTH,OPEN,NON-PROFIT,1840003629
91636202,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET, PO BOX 2208",OPEN,PROPRIETARY,1840006563
7435476,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840014819
10035594,NORTHWEST MEDICAL CENTER,1530 U S HWY 43,OPEN,GOVERNMENT - LOCAL,1840015587
7636067,PRATTVILLE BAPTIST HOSPITAL,124 SOUTH MEMORIAL DRIVE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840004086
335211,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SW,OPEN,PROPRIETARY,1840006507
10136685,PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD, PO BOX 850429",OPEN,NON-PROFIT,1840006009
10235582,RED BAY HOSPITAL,"211 HOSPITAL ROAD, PO BOX 490",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840014682
4036037,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 LV STABLER DRIVE,OPEN,PROPRIETARY,1840003498
8336867,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,OPEN,PROPRIETARY,1840006012
10335999,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,OPEN,PROPRIETARY,1840006332
10435010,RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280, PO BOX 939",OPEN,NON-PROFIT,1840013788
10535653,RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43, PO BOX 1089",OPEN,NON-PROFIT,1840004247
535259,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",OPEN,PROPRIETARY,1840006507
10735007,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,OPEN,PROPRIETARY,1840013756
10935661,SHOALS HOSPITAL,"201 W AVALON AVENUE, PO BOX 3359",OPEN,PROPRIETARY,1840014657
8636535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,OPEN,PROPRIETARY,1840002084
11036301,SOUTHEAST HEALTH MEDICAL CENTER,"1108 ROSS CLARK CIRCLE, PO BOX 6987",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840001518
11136608,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,OPEN,PROPRIETARY,1840006009
8935205,ST. VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,OPEN,NON-PROFIT,1840006507
11235121,ST. VINCENT'S BLOUNT,"150 GILBREATH DRIVE, PO BOX 1000",OPEN,NON-PROFIT,1840005206
172435046,ST. VINCENT'S CHILTON,2030 LAY DAM ROAD,OPEN,PROPRIETARY,1840006157
9035235,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,OPEN,NON-PROFIT,1840006507
11635125,ST. VINCENT'S ST.CLAIR,7063 VETERANS PARKWAY,OPEN,PROPRIETARY,1840014771
11336201,STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH STREET, PO BOX 38",OPEN,PROPRIETARY,1840006563
195436278,TANNER MEDICAL CENTER - EAST ALABAMA,1032 MAIN STREET SOUTH,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005602
11536532,THOMAS HOSPITAL,"750 MORPHY AVENUE, PO DRAWER 929",OPEN,NON-PROFIT,1840002039
196784234,THOMASVILLE REGIONAL MEDICAL CENTER,300 MEDICAL PARK DRIVE,OPEN,PROPRIETARY,1840015849
11736081,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005558
4535401,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,OPEN,NOT AVAILABLE,1840005563
635233,UAB CALLAHAN EYE HOSPITAL AUTHORITY,1720 UNIVERSITY BOULEVARD,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006507
1935806,UNITY PSYCHIATRIC CARE - HUNTSVILLE,5315 MILLENNIUM DRIVE,OPEN,PROPRIETARY,1840005061
11935233,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH NINETEENTH STREET,OPEN,GOVERNMENT - STATE,1840006507
90736604,USA HEALTH CHILDREN'S AND WOMEN'S HOSPITAL,1700 CENTER STREET,OPEN,GOVERNMENT - STATE,1840006009
9836617,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,OPEN,GOVERNMENT - STATE,1840006009
9936701,VAUGHAN REGIONAL MEDICAL CENTER - PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,OPEN,PROPRIETARY,1840008329
12035502,WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78, EAST, PO BOX 3547",OPEN,PROPRIETARY,1840003778
12236518,WASHINGTON COUNTY HOSPITAL,"14600 ST STEPHENS AVENUE, PO BOX 1299",OPEN,GOVERNMENT - LOCAL,1840001112
91836732,WHITFIELD REGIONAL HOSPITAL,105 US HIGHWAY 80 EAST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840014897
10836340,WIREGRASS MEDICAL CENTER,1200 WEST MAPLE AVENUE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840003161
899508,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,OPEN,PROPRIETARY,1840023385
1799801,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,OPEN,GOVERNMENT - FEDERAL,1840023306
699669,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,OPEN,NON-PROFIT,1840023415
1299701,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES ST,OPEN,NON-PROFIT,1840023463
2499645,MAT - SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,OPEN,PROPRIETARY,1840023379
196784305,MAT - SU REGIONAL OUTPATIENT CENTER,950 E BOGARD,OPEN,NOT AVAILABLE,1840023371
1099508,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DR,OPEN,NON-PROFIT,1840023385
4799503,ST. ELIAS SPECIALTY HOSPITAL,4800 CORDOVA ST,OPEN,PROPRIETARY,1840023385
199508,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER ST,OPEN,GOVERNMENT - STATE,1840023385
299508,NORTH STAR HOSPITAL,2530 DEBARR RD,OPEN,PROPRIETARY,1840023385
4699508,NORTH STAR HOSPITAL - CHRIS KYLE PATRIOTS HOSPITAL,1650 SOUTH BRAGAW ST,OPEN,PROPRIETARY,1840023385
196784306,NORTH STAR HOSPITAL - RESIDENTIAL TREATMENT CENTER,1500 DEBARR CIRCLE,OPEN,NOT AVAILABLE,1840023385
2199574,CORDOVA COMMUNITY MEDICAL CENTER,602 CHASE AVE,OPEN,GOVERNMENT - LOCAL,1840023402
196784307,KANAKANAK - BRISTOL BAY,6000 KANAKANAK RD,OPEN,NOT AVAILABLE,1840023279
499901,KETCHIKAN MEDICAL CENTER,3100 TONGASS AVE,OPEN,NON-PROFIT,1840023270
2399762,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVE,OPEN,NON-PROFIT,1840023510
2599833,PETERSBURG MEDICAL CENTER,103 FRAM ST,OPEN,GOVERNMENT - LOCAL,1840023308
1699615,PROVIDENCE KODIAK ISLAND MEDICAL CENTER,1915 E REZANOF DR,OPEN,NON-PROFIT,1840023301
599664,PROVIDENCE SEWARD MEDICAL AND CARE CENTER,417 FIRST AVE,OPEN,NON-PROFIT,1840023423
2699686,PROVIDENCE VALDEZ MEDICAL CENTER,911 MEALS AVE,OPEN,GOVERNMENT - LOCAL,1840023396
60599723,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,OPEN,GOVERNMENT - FEDERAL,1840023481
399603,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840023419
1999929,WRANGELL MEDICAL CENTER - SEARHC,310 BENNETT ST,OPEN,GOVERNMENT - LOCAL,1840000416
60399588,CROSS ROAD MEDICAL CENTER,"187 GLENN HWY, PO BOX 5",OPEN,NOT AVAILABLE,1840023387
196784308,ILIULIUK FAMILY AND HEALTH SERVICES INC,"34 LAVELLE CT, PO BOX 144",OPEN,NOT AVAILABLE,1840023260
6985016,PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,OPEN,NON-PROFIT,1840020568
16285297,PHOENIX CHILDREN'S HOSPITAL - MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,OPEN,NOT AVAILABLE,1840021947
6785541,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,OPEN,PROPRIETARY,1840022857
2085602,BENSON HOSPITAL,450 SOUTH OCOTILLO AVENUE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840019494
2985501,COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,OPEN,NON-PROFIT,1840020533
3085603,COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE,OPEN,NON-PROFIT,1840019495
2285621,HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,OPEN,NON-PROFIT,1840020823
5185344,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,OPEN,NON-PROFIT,1840022875
5286047,LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE,OPEN,NON-PROFIT,1840021583
196784310,NAVAJO HEALTH FOUNDATION,HIGHWAY 264 WEST AND 191 SOUTH,OPEN,NOT AVAILABLE,1840017676
6185643,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC",901 WEST REX ALLEN DRIVE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840022105
6586040,PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,OPEN,NON-PROFIT,1840020336
9985938,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,OPEN,NON-PROFIT,1840022616
10085390,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,OPEN,NON-PROFIT,1840022916
3185710,CORNERSTONE SPECIALTY HOSPITALS TUCSON,7220 EAST ROSEWOOD STREET,OPEN,PROPRIETARY,1840022101
196784311,CURAHEALTH NORTHWEST PHOENIX,13060 WEST BELL,OPEN,NOT AVAILABLE,1840021941
7085203,"KPC PROMISE HOSPITAL OF PHOENIX, LLC",433 EAST 6TH STREET,OPEN,PROPRIETARY,1840020566
7685013,SELECT SPECIALTY HOSPITAL - PHOENIX,"350 WEST THOMAS ROAD, 3RD FLOOR",OPEN,PROPRIETARY,1840020568
7715006,SELECT SPECIALTY HOSPITAL ARIZONA INC,"1111 EAST MCDOWELL RD, 11TH FLOOR",OPEN,PROPRIETARY,1840020568
4685711,"SELECT SPECIALTY HOSPITAL - TUCSON, LLC",355 NORTH WILMOT ROAD,OPEN,PROPRIETARY,1840022101
285723,HOSPITAL - 6TH AVENUE,3601 S 6TH AVE,OPEN,GOVERNMENT - FEDERAL,1840022101
66785008,ARIZONA STATE FORENSIC HOSPITAL,501 NORTH 24TH STREET,OPEN,GOVERNMENT - STATE,1840020568
64685008,ARIZONA STATE HOSPITAL,2500 EAST VAN BUREN STREET,OPEN,GOVERNMENT - STATE,1840020568
785302,AURORA BEHAVIORAL HEALTH SYSTEM,6015 WEST PEORIA AVENUE,OPEN,PROPRIETARY,1840020563
64785283,AURORA BEHAVIORAL HEALTHCARE - TEMPE,6350 SOUTH MAPLE AVENUE,OPEN,NOT AVAILABLE,1840021942
185585374,AVENIR BEHAVIORAL HEALTH CENTER,16561 NORTH PARKVIEW PLACE,OPEN,NOT AVAILABLE,1840021941
1085251,BANNER BEHAVIORAL HEALTH HOSPITAL,7575 EAST EARLL DRIVE,OPEN,NON-PROFIT,1840021940
196784312,COPPER SPRINGS - EAST,3755 SOUTH ROME STREET,OPEN,NOT AVAILABLE,1840021947
14185392,"COPPER SPRINGS HOSPITAL, LLC",10550 WEST MCDOWELL ROAD,OPEN,PROPRIETARY,1840019310
196784179,CORNERSTONE BEHAVIORAL HEALTH EL DORADO,1400 NORTH WILMOT ROAD,OPEN,NOT AVAILABLE,1840022101
193985378,"DESTINY SPRINGS HEALTHCARE, LLC",17300 NORTH DYSART ROAD,OPEN,NOT AVAILABLE,1840021941
3686004,THE GUIDANCE CENTER,2187 NORTH VICKEY STREET,OPEN,NOT AVAILABLE,1840020335
65385007,"HAVEN BEHAVIORAL SERVICES OF PHOENIX, LLC","1201 SOUTH 7TH AVENUE, SUITE 200",OPEN,NOT AVAILABLE,1840020568
196784195,MEDICAL BEHAVIORAL HOSPITAL OF NORTHERN ARIZONA,181 WHIPPLE STREET,OPEN,NOT AVAILABLE,1840020436
66385225,OASIS BEHAVIORAL HEALTH HOSPITAL,"2190 NORTH GRACE BOULEVARD, BUILDING A",OPEN,NOT AVAILABLE,1840019309
66585712,PALO VERDE BEHAVIORAL HEALTH,2695 NORTH CRAYCROFT ROAD,OPEN,NOT AVAILABLE,1840022101
196784313,"PHOENIX MEDICAL PSYCHIATRIC HOSPITAL, LLC",1346 EAST MCDOWELL ROAD,OPEN,NOT AVAILABLE,1840020568
16485027,QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,OPEN,PROPRIETARY,1840020568
8085704,SONORA BEHAVIORAL HEALTH HOSPITAL,6050 NORTH CORONA ROAD,OPEN,PROPRIETARY,1840022101
8385006,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",1800 EAST VAN BUREN,OPEN,PROPRIETARY,1840020568
196784314,TALAS HARBOR AT BUCKEYE,1407 SOUTH 9TH AVENUE,OPEN,NOT AVAILABLE,1840020568
196784283,TALAS HARBOR AT BULLHEAD CITY,831 LANDON DRIVE,OPEN,NOT AVAILABLE,1840019748
9385018,VALLEY HOSPITAL,3550 EAST PINCHOT AVENUE,OPEN,PROPRIETARY,1840020568
10186314,WINDHAVEN PSYCHIATRIC HOSPITAL,3347 NORTH WINDSONG DRIVE,OPEN,NON-PROFIT,1840021772
196784315,BANNER REHABILITATION HOSPITAL - PHOENIX,775 EAST WILLETTA STREET,OPEN,NOT AVAILABLE,1840020568
4785381,BANNER REHABILITATION HOSPITAL - WEST,12740 NORTH PLAZA DEL RIO BOULEVARD,OPEN,PROPRIETARY,1840020567
14085378,"COBALT REHABILITATION HOSPITAL IV, LLC",13060 WEST BELL ROAD,OPEN,PROPRIETARY,1840021941
196784181,DIGNITY HEALTH EAST VALLEY REHABILITATION HOSPITAL,1515 WEST CHANDLER BOULEVARD,OPEN,NOT AVAILABLE,1840019309
3985206,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF EAST VALLEY,5652 EAST BASELINE ROAD,OPEN,PROPRIETARY,1840020566
65485704,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHWEST TUCSON,1921 WEST HOSPITAL DRIVE,OPEN,NOT AVAILABLE,1840022101
4285260,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SCOTTSDALE,9630 EAST SHEA BOULEVARD,OPEN,PROPRIETARY,1840021940
4185712,ENCOMPASS HEALTH REHABILITATION INSTITUTE OF TUCSON,2650 NORTH WYATT DRIVE,OPEN,PROPRIETARY,1840022101
65585304,"ENCOMPASS HEALTH VALLEY OF THE SUN REHABILITATION HOSPITAL, LLC",13460 NORTH 67TH AVENUE,OPEN,NOT AVAILABLE,1840020563
68985258,"GLOBALREHAB - SCOTTSDALE, LLC",8850 EAST PIMA CENTER PARKWAY,OPEN,NOT AVAILABLE,1840021940
68786409,KINGMAN REGIONAL MEDICAL CENTER - HUALAPAI MOUNTAIN CAMPUS,"3801 SANTA ROSA, 2ND FLOOR",OPEN,NOT AVAILABLE,1840021043
65986314,MOUNTAIN VALLEY REGIONAL REHABILITATION HOSPITAL,3700 NORTH WINDSONG DRIVE,OPEN,NOT AVAILABLE,1840021772
182786001,"REHABILITATION HOSPITAL OF NORTHERN ARIZONA, LLC",1851 NORTH GEMINI DRIVE,OPEN,NOT AVAILABLE,1840020335
