fire_emergency_id,name,address,city_id
1951985,Caseville Fire Department,6833 Main Street,1840010910
1951993,Central Fire Department Station 1,202 Church Street,1840016494
1951995,Hyalite Rural Fire District - Rae Station,5370 Gooch Hill Road,1840018509
1951996,West Lakes Fire Department Station 73,1250 Spring Drive,1840023371
1952015,Closter Borough Fire Department,100 Ruckman Road,1840003538
1952019,Hope Fire Department Station 2,1001 North Hazel Street,1840014765
1952031,Ellsworth Volunteer Fire Department,427 Spruce Street,1840002283
1952039,Hurley Fire Station,100 East Main Street,1840007653
1952075,West County EMS and Fire Protection District Station 1,223 Henry Avenue,1840009739
1952107,Waubeka Fire Department,W4114 River Road,1840024030
1952110,Mount Prospect Fire Department - Station 13 Headquarters,112 East Northwest Highway,1840011300
1952118,Giles County Fire and Rescue Squad - Richland,280 Kerr Hill Road,1840016376
1952119,Riverdale Fire Department,725 West 138th Street,1840011286
1952134,Coconut Creek Fire Rescue Station 50,4500 Coconut Creek Parkway,1840015132
1952146,Daisytown Volunteer Fire Department Station 18,139 Vogel Street,1840001116
1952168,Silver City Fire Department Station 1,1011 North Hudson Street,1840023009
1952169,Wyomissing Fire Company Station 79,1259 Penn Avenue,1840001196
1952175,Mullin Volunteer Fire Department,2nd Street and Sherman Street,1840023121
1952215,Trappe Fire Company - Station 77,20 West 5th Avenue,1840001379
1952269,Dallas Volunteer Fire Department Station 63,209 West Main Street,1840016396
1952273,Concord Volunteer Fire Department Central Station,107 Costello Road,1840016944
1952274,Port Neches Fire Department,606 Magnolia Avenue,1840020920
1952287,West End Volunteer Fire Department Station 1,120512 Panama City Beach Parkway,1840015035
1952315,Gallaway Fire Department,424 Main Street,1840013474
1952336,Duluth Fire Department - Station 6,5031 East Superior Street,1840007685
1952345,Colorado Springs Fire Department Station 21,7320 Dublin Boulevard,1840018825
1952372,Alpine Township Fire Department Station 1,841 Alpine Church Road,1840004307
1952378,Fairfield Fire Department,108 Northwest 7th Street,1840008641
1952392,Colby Fire Department,1125 South Country Club Drive,1840001553
1952409,Yachats Rural Fire Protection District Station 8200,2056 Highway 101 North,1840021236
1952419,Rescue Fire Company Station 37 - 2,1900 Linglestown Road,1840001288
1952421,Page Fire Department,808 Coppermine Road,1840020336
1952441,Caroline County Fire and Rescue / Bowling Green Volunteer Fire Department Company 1,130 Courthouse Lane,1840006303
1952455,Troy Fire Department,118 West Harper Street,1840016068
1952479,Red White and Blue Fire District Station 4,13549 Highway 9,1840021428
1952490,Ford County Fire Department Station 8,Hunt Street and Main Street,1840026808
1952500,Enid Fire Department Station 3,121 South 30th Street,1840020373
1952503,Yanceyville Fire Department Station 2,176 Airport Road,1840016058
1952508,Skagit County Fire Protection District 11 - Mount Erie Fire Department Station 2,4214 Wildwood Lane,1840018366
1952525,Cal Fire Petaluma Fire Station,655 Lohrman Lane,1840020244
1952527,Springville Volunteer Fire Company Station 1,65 Franklin Street,1840004391
1952529,Kittitas Valley Fire and Rescue Station 21,2020 Vantage Highway,1840019841
1952536,Oklahoma City Fire Department Station 27,6400 North Westminster Road,1840021741
1952548,Danville Fire Department Station 2,2129 North Vermilion Street,1840007235
1952562,Bolton Fire Station,3107 Theodore Roosevelt Highway,1840152952
1952590,Fountaintown Fire Department,1698 Fountaintown Road,1840032936
1952615,Olyphant Fire Department - Eureka Hose Company Station 26 - 4,717 East Grant Street,1840003388
1952622,Crosby Volunteer Fire Department Station 83,2409 Foley Road,1840018249
1952625,Lowndes County District 4 Volunteer Fire and Rescue Department Plum Grove Station,10655 Old Macon Road,1840014807
1952634,New Boston Volunteer Fire Department Station 1,116 East Main Street,1840020613
1952636,Kern County Fire Department Station 25 - Buttonwillow,100 Mirasol Avenue,1840017812
1952644,Otter Creek Volunteer Fire Department,5942 Owens Road,1840014959
1952645,Clark County Fire Department Station 29,7530 Paradise Road,1840020364
1952652,Brocks Mill Fire Department Station 3,2562 Hinson Hill Road,1840016582
1952655,Portland Fire and Rescue Station 14 Vernon,1905 Northeast Killingsworth Street,1840019941
1952667,Kern County Fire Department Station 15 - Rosamond,3219 35th Street West,1840019140
1952676,Pittsburgh Bureau of Fire Station 213 - 37,1124 West North Avenue,1840001254
1952705,North Bend Volunteer Fire Department Station 2,County Road 743,1840014869
1952711,Tribbey Volunteer Fire Department Station 1,30163 Slaughterville Road,1840022767
1952729,Scottsburg Volunteer Fire Department Station 2,188 South Railroad Street,1840009788
1952749,Bemus Point Volunteer Fire Department,13 Alburtus Avenue,1840004574
1952769,East Umatilla Fire and Rescue District Station 62,77167 Spring Hollow Road,1840018535
1952773,Dinuba Fire Department,496 East Tulare Street,1840019044
1952775,Pinecroft - Sedgefield Fire District Station 22,5342 Vickrey Chapel Road,1840013356
1952783,Lisbon Fire Department Smith Hose Company,41 Village Street,1840152999
1952817,Asheville Fire Department Station 5,1074 Hendersonville Road,1840013411
1952830,Foster Mound Volunteer Fire Department,228 Foster Mound Road,1840014951
1952832,Lower Alloways Creek Fire and Rescue Company Station 2,773 Smick Road,1840001529
1952837,Regina Volunteer Fire Department,923 State Highway 96,1840019066
1952844,DeKalb County Fire and Rescue Department Station 15,2017 Flightway Drive,1840014775
1952850,Byars Volunteer Fire Department,170 Second Street,1840022783
1952852,Gordon County Fire Rescue Department Station 5 Resaca,2660 US Highway 41 North,1840013596
1952864,Oro Vista Volunteer Fire and Rescue,112 San Pedro Drive,1840019403
1952869,Elroy Volunteer Fire Department - Station 1,4720 US Highway 70 East,1840013432
1952883,Lakeville Volunteer Fire Department,5100 Lakeville Highway,1840020244
1952886,Ormond Beach Fire Department Station 93,300 Wilmette Avenue,1840015076
1952887,Greens Crossroad Volunteer Fire Department,582 County Road 44,1840003795
1952888,Paradise Point Fire Station,23515 South 620 Road,1840022613
1952892,Fourway Volunteer Fire Department Wards Gap Station,2846 Wards Gap Road,1840014430
1952900,Rialto Fire Department Station 204,3288 North Alder Avenue,1840020407
1952911,Piedmont Fire Department,312 North Center Avenue,1840014781
1952919,Baldwin Volunteer Fire Department,5188 47th street,1840006980
1952930,Humnoke Volunteer Fire Department,57 Jackson Street,1840014629
1952935,Placerville Fire Protection District,100 East Granite Street,1840020006
1952954,Iselin Volunteer Fire Company Number 1,1222 Green Street,1840005418
1952961,Sacramento Metropolitan Fire District Station 51,8210 Meadowhaven Drive,1840021491
1952963,Brighton Fire Department - Station 1 - Headquarters,3100 East Avenue,1840000373
1952972,Gulfport Fire Department Station 8,13440 Old Highway 49,1840013947
1952983,Hinesville Fire Department Station 2,640 Airport Road,1840014931
1952985,Alyeska Pipeline Service Company Fire and Rescue,300 Dayville Road,1840023396
1952986,Coatesville Fire Department - Hose Company Station 41,376 East Lincoln Highway,1840001424
1952991,False Pass Volunteer Fire Department,180 Unimak Drive,1840000481
1953022,Lawrence Fire Department Ladder 4,71 South Broadway,1840000408
1953037,Harris Rural Fire Department,29106 South Spruce Street,1840026763
1953051,Lock Four Volunteer Fire Company Station 22,540 Isabella Avenue,1840003663
1953065,Cranston Fire Department Station 5,1041 Oaklawn Avenue,1840003287
1953082,Pattonville Fire Protection District,2222 Maryland Heights Exressway,1840008591
1953091,Susan River Fire Protection District Station 3,US Highway 395,1840021348
1953092,Ventura County Fire Protection District Station 42 Moorpark,295 East High Street,1840020472
1953101,Central Yavapai Fire District Station 54,13155 East State Highway 169,1840021771
1953120,Columbia Fire Rescue Station 6,2264 William Few Parkway,1840013095
1953134,Alpharetta Fire Department Station 4,525 Park Bridge Parkway,1840013659
1953164,Cleveland County Volunteer Fire Department,221 East Graham Street,1840015426
1953171,Denmark Fire Department,408 5th Street,1840026405
1953176,Newport News Fire Department Station 7,5844 Marshall Avenue,1840003862
1953182,Jacksonville Fire and Rescue Department Station 50,3275 Tamaya Boulevard,1840015031
1953183,Golden Eagle Refinery Fire Department,150 Solano Way,1840020278
1953190,Moffett Volunteer Fire Department,355 Lone Star Road,1840020840
1953193,Larksville Volunteer Fire Company Station 154,211 East State Street,1840000758
1953194,Murfreesboro Fire Department Station 4,Jones Boulevard,1840014495
1953197,Barber County Rural Fire Department Station 1,Curry Lane,1840008754
1953199,Shanghai Volunteer Fire Department,1435 Burke Road,1840015426
1953203,Crystal Lake Fire Station No. 3,844 South Virginia Road,1840006969
1953220,Elkhorn Volunteer Fire Department,19756 Old River Road,1840021483
1953227,Chicago Fire Department District 2 Station 56,2214 West Barry Avenue,1840000494
1953234,Cherry Hill Volunteer Fire Department,64 Cherry Hill Loop,1840014622
1953240,Lake Park Volunteer Fire Department,202 West Cotton Street,1840015000
1953244,South Berkeley Volunteer Fire Department Substation,4127 Winchester Avenue,1840005742
1953275,Carter Fire District,701 Buffaloville Road,1840009758
1953285,Chimes - Shady Grove Volunteer Fire Department Substation,4154 State Highway 254 East,1840014494
1953287,Burbank Fire Department Station 14,2305 West Burbank Boulevard,1840019233
1953294,Brandon Volunteer Fire Department,400 North Street,1840006944
1953300,Searcy Fire Department Station 2,800 Golf Course Drive,1840015429
1953301,Santa Fe County Volunteer Fire Madrid District,5 Firehouse Road,1840017770
1953303,Cabool Fire Department,510 Cedar Avenue,1840007600
1953308,Valley Forge Volunteer Fire Company Substation 168,300 West Pothouse Road,1840001433
1953318,Monroe Fire Department,107 North Monroe Street,1840008174
1953331,Bellamy Volunteer Fire Department,527 Pine Street,1840025886
1953347,Theodore Tillmans Corner Volunteer Fire Department,5008 Freeway Lane,1840013895
1953348,Asheville Fire and Rescue Station 11,7 Rocky Ridge Road,1840013411
1953349,Five Cities Fire Authority Station 61,1655 Front Street,1840019123
1953355,Cudahy Fire Department and Rescue Squad Station 1,4626 South Packard Avenue,1840003045
1953365,West Sanford Rural Volunteer Fire Department,804 Cumnock Road,1840015421
1953387,Whitehouse Fire Department,14651 South Whitehouse Road,1840013368
1953391,Oglethorpe County Fire and Rescue Station 9 - Devils Pond,9 Devils Pond Road,1840014763
1953392,King County Fire Protection District 28 Enumclaw Fire Department Station 2,35431 Veazie - Cumberland Road Southeast,1840019825
1953404,Orange Beach Fire Department Station 4,31696 River Road,1840014980
1953408,Ottawa County Rural Fire Department Station 2 Minneapolis,218 North Rock Street,1840003824
1953417,Adams Volunteer Fire Company Station 2,3805 Klemer Road,1840000372
1953472,Cherry Grove Fire Station 23,185 McNeill Road,1840016664
1953476,Evergreen Fire Rescue Station 7,157 County Road 65,1840017539
1953477,Caliente Volunteer Fire Department,970 Front Street,1840018856
1953480,Walt Disney Studios Fire Department,500 South Buena Vista Street,1840019233
1953481,Polk County Fire Rescue Station 13,7800 Watkins Road,1840014136
1953482,Somerville Fire Department Station 3,255 Somerville Avenue,1840003123
1953485,Arkadelphia Fire Department Station 1,610 Caddo Street,1840013638
1953508,Lilly Community Volunteer Fire Company Station 72,505 Main Street,1840001117
1953514,Paton Fire Department,101 South Main Street,1840009170
1953530,Millvale Volunteer Fire Department Station 191,501 Lincoln Avenue,1840001254
1953536,Bazetta Fire Department Station 13,2667 McCleary Jacoby Road,1840007128
1953552,Colton Fire Department Station 211,303 East E Street,1840019120
1953555,Wenatchee Valley Fire Department Station 10,731 North Wenatchee Avenue,1840021074
1953566,Green Township Fire Department Station 2,1296 Delano Road,1840007369
1953581,Snowmass - Wildcat Fire Protection District Snowmass Station 1,5275 Owl Creek Road,1840022467
1953614,Milaca Volunteer Fire Department,1005 Central Avenue North,1840007761
1953615,Belfry Volunteer Fire Department,253701 US Highway 119 North,1840030382
1953616,Glenpool Volunteer Fire Department,14522 Broadway Street,1840020384
1953619,Glasgow Volunteer Fire Department,610 2nd Street,1840008519
1953620,Sun Valley Fire Department,100 Arrowleaf Road,1840021271
1953640,Frankfort Fire Protection District Station 1,333 West Nebraska Street,1840011486
1953651,Stotts City Community Fire Department Station 2,100 East Mount Vernon Street,1840009919
1953676,Lake Station Fire Department,1876 Fairview Avenue,1840008195
1953692,Missouri Valley Fire Department,223 East Erie Street,1840008151
1953708,Kettering Fire Department Station 36,4745 Hempstead Station Drive,1840003783
1953717,Dunellen Fire Department,231 South Madison Avenue,1840003634
1953730,Kennewick Fire Department Station 1,600 South Auburn Street,1840018481
1953739,Point Pleasant Beach Fire Department,416 New Jersey Avenue,1840001486
1953752,Rykers Ridge Volunteer Fire Company,2834 North Rykers Ridge Road,1840009728
1953757,Woodworth Fire Station,111 Main Street North,1840001921
1953832,Summerfield Fire District Station 9,7400 Summerfield Road,1840016139
1953833,Estelline Fire Department,305 North Main Street,1840002299
1953838,Duncan Falls Fire Department,289 North Street,1840026552
1953844,Miami Fire Department North Station,103 Goodrich Boulevard,1840020346
1953849,Union City Fire Department Station 1,8595 Highpoint Road,1840015610
1953859,Twin Falls Fire Department Station 1,345 2nd Avenue East,1840021301
1953869,Stockbridge Area Emergency Services Authority Fire Department,1009 South Clinton Street,1840011081
1953887,Denton Rural Fire District,401 Main Avenue,1840021112
1953891,Sapulpa Fire Department Central Station,800 East Dewey Avenue,1840021691
1953892,Clear Spring Volunteer Fire Company 4,30 Mulberry Street,1840005615
1953905,Ovando Volunteer Fire Department,410 Main Street,1840018436
1953927,Frostproof Fire Department,47 North Lake Reedy Boulevard,1840014135
1953931,West Valley Fire District Willamina Station,825 Northeast Main Street,1840021221
1953940,Nashville Fire Department,404 West Marion Avenue,1840014964
1953944,Waller Volunteer Fire Department,612 Walnut Street,1840022195
1953950,Grand Junction Fire Department,150 North Tippah Street,1840013464
1953971,Ava Fire Department,908 North Jefferson Street,1840007647
1953983,Chesapeake - Union Township Volunteer Fire Department,400 Bridge Way,1840010756
1954008,Weston Volunteer Fire Department,203 Main Street,1840022017
1954018,Blue Ash Fire Department Station 15 South Station,4343 Cooper Road,1840003812
1954023,Goodwell Fire Department and Ambulance Service,104 Main Street,1840021625
1954033,Sartell Fire Department,220 4th Avenue South,1840008886
1954049,Woodcrest Fire Department,11975 South Douglas Boulevard,1840020390
1954069,East Milton Fire and Rescue Department 15,5081 Ward Basin Road,1840015006
1954074,New Douglas Community Volunteer Fire Department,105 East Allen Street,1840012802
1954080,Valley Township Volunteer Fire Department,583 Robert Lucas Road,1840006053
1954085,Quad City Volunteer Fire Department and Emergency Medical Services,State Highway 359,1840018291
1954129,Spanish Peaks Volunteer Fire Department Aguilar Station,121 West Main Street,1840021546
1954152,Borden - Wood Township Volunteer Fire Department,327 West Main Street,1840009664
1954154,Mapleton Fire Department,102 South Second Street,1840009154
1954172,Colleton Fire Department Station 7,27250 Low Country Highway,1840018047
1954207,Hannibal Rural Fire Protection District,9250 County Road 418,1840007306
1954220,Muhlenberg Township Fire and Rescue Station 1,115 Madison Avenue,1840001185
1954222,Hawkinsville Fire Department,30 1st Street,1840014904
1954228,High Rolls Volunteer Fire Department,39 Old Railroad Drive,1840025059
1954229,South County Fire Station 12 Hilton Lake,3525 108th Street Southeast,1840019785
1954236,Lancaster Fire Department,107 North Campbell Street,1840014345
1954241,Fittstown Fire Department,18070 County Road 1655,1840034443
1954246,Alameda County Fire Station 34,2333 Powell Street,1840020291
1954249,Duenweg Volunteer Fire Department,266 Wolfe Drive,1840008768
1954264,Richland Fire and Emergency Services Station 71,1000 George Washington Way,1840019889
1954333,Loleta Volunteer Fire Department Station 2 Storage,Table Bluff Road,1840009621
1954341,Mandeville Volunteer Fire Department,62015 Miller County Road 144,1840015708
1954344,Ione Volunteer Fire Department,37 Fuller Road,1840013466
